slide,case,compartment,n_tiles,n_tiles_top1_ge_0.50
TCGA-2F-A9KO-01Z-00-DX1.195576CF-B739-4BD9-B15B-4A70AE287D3E_tiles.jsonl,TCGA-2F-A9KO,Blood vessels (vasculature),17256,16136
TCGA-2F-A9KO-01Z-00-DX1.195576CF-B739-4BD9-B15B-4A70AE287D3E_tiles.jsonl,TCGA-2F-A9KO,Inflammatory infiltrates (immune cells),330,236
TCGA-2F-A9KO-01Z-00-DX1.195576CF-B739-4BD9-B15B-4A70AE287D3E_tiles.jsonl,TCGA-2F-A9KO,Invasive urothelial carcinoma (tumor),12123,11575
TCGA-2F-A9KO-01Z-00-DX1.195576CF-B739-4BD9-B15B-4A70AE287D3E_tiles.jsonl,TCGA-2F-A9KO,Lamina propria (fibrovascular stroma),14447,13013
TCGA-2F-A9KO-01Z-00-DX1.195576CF-B739-4BD9-B15B-4A70AE287D3E_tiles.jsonl,TCGA-2F-A9KO,Muscularis propria (detrusor muscle),14010,12341
TCGA-2F-A9KO-01Z-00-DX1.195576CF-B739-4BD9-B15B-4A70AE287D3E_tiles.jsonl,TCGA-2F-A9KO,Necrosis,250,203
TCGA-2F-A9KO-01Z-00-DX1.195576CF-B739-4BD9-B15B-4A70AE287D3E_tiles.jsonl,TCGA-2F-A9KO,Normal urothelium (benign mucosa),8348,7395
TCGA-2F-A9KO-01Z-00-DX1.195576CF-B739-4BD9-B15B-4A70AE287D3E_tiles.jsonl,TCGA-2F-A9KO,Perivesical adipose tissue (extravesical fat),10036,9419
TCGA-2F-A9KP-01Z-00-DX1.3CDF534E-958F-4467-AA7E-FD3C5A86AAAA_tiles.jsonl,TCGA-2F-A9KP,Blood vessels (vasculature),17024,15210
TCGA-2F-A9KP-01Z-00-DX1.3CDF534E-958F-4467-AA7E-FD3C5A86AAAA_tiles.jsonl,TCGA-2F-A9KP,Inflammatory infiltrates (immune cells),749,552
TCGA-2F-A9KP-01Z-00-DX1.3CDF534E-958F-4467-AA7E-FD3C5A86AAAA_tiles.jsonl,TCGA-2F-A9KP,Invasive urothelial carcinoma (tumor),38252,36636
TCGA-2F-A9KP-01Z-00-DX1.3CDF534E-958F-4467-AA7E-FD3C5A86AAAA_tiles.jsonl,TCGA-2F-A9KP,Lamina propria (fibrovascular stroma),12939,11073
TCGA-2F-A9KP-01Z-00-DX1.3CDF534E-958F-4467-AA7E-FD3C5A86AAAA_tiles.jsonl,TCGA-2F-A9KP,Muscularis propria (detrusor muscle),16018,13881
TCGA-2F-A9KP-01Z-00-DX1.3CDF534E-958F-4467-AA7E-FD3C5A86AAAA_tiles.jsonl,TCGA-2F-A9KP,Necrosis,219,192
TCGA-2F-A9KP-01Z-00-DX1.3CDF534E-958F-4467-AA7E-FD3C5A86AAAA_tiles.jsonl,TCGA-2F-A9KP,Normal urothelium (benign mucosa),5283,4499
TCGA-2F-A9KP-01Z-00-DX1.3CDF534E-958F-4467-AA7E-FD3C5A86AAAA_tiles.jsonl,TCGA-2F-A9KP,Perivesical adipose tissue (extravesical fat),11916,11181
TCGA-2F-A9KQ-01Z-00-DX1.1C8CB2DD-5CC6-4E99-A0F9-32A0F598F5F9_tiles.jsonl,TCGA-2F-A9KQ,Blood vessels (vasculature),3344,3182
TCGA-2F-A9KQ-01Z-00-DX1.1C8CB2DD-5CC6-4E99-A0F9-32A0F598F5F9_tiles.jsonl,TCGA-2F-A9KQ,Inflammatory infiltrates (immune cells),45,33
TCGA-2F-A9KQ-01Z-00-DX1.1C8CB2DD-5CC6-4E99-A0F9-32A0F598F5F9_tiles.jsonl,TCGA-2F-A9KQ,Invasive urothelial carcinoma (tumor),434,395
TCGA-2F-A9KQ-01Z-00-DX1.1C8CB2DD-5CC6-4E99-A0F9-32A0F598F5F9_tiles.jsonl,TCGA-2F-A9KQ,Lamina propria (fibrovascular stroma),233,120
TCGA-2F-A9KQ-01Z-00-DX1.1C8CB2DD-5CC6-4E99-A0F9-32A0F598F5F9_tiles.jsonl,TCGA-2F-A9KQ,Muscularis propria (detrusor muscle),326,282
TCGA-2F-A9KQ-01Z-00-DX1.1C8CB2DD-5CC6-4E99-A0F9-32A0F598F5F9_tiles.jsonl,TCGA-2F-A9KQ,Necrosis,1,1
TCGA-2F-A9KQ-01Z-00-DX1.1C8CB2DD-5CC6-4E99-A0F9-32A0F598F5F9_tiles.jsonl,TCGA-2F-A9KQ,Normal urothelium (benign mucosa),5318,5202
TCGA-2F-A9KQ-01Z-00-DX1.1C8CB2DD-5CC6-4E99-A0F9-32A0F598F5F9_tiles.jsonl,TCGA-2F-A9KQ,Perivesical adipose tissue (extravesical fat),539,355
TCGA-2F-A9KR-01Z-00-DX1.D6A4BD2D-18F3-4FA6-8272-60392DDAF7B5_tiles.jsonl,TCGA-2F-A9KR,Blood vessels (vasculature),14185,12898
TCGA-2F-A9KR-01Z-00-DX1.D6A4BD2D-18F3-4FA6-8272-60392DDAF7B5_tiles.jsonl,TCGA-2F-A9KR,Inflammatory infiltrates (immune cells),455,324
