slide,case,compartment,n_tiles,n_tiles_top1_ge_0.50
TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291_tiles.jsonl,TCGA-3C-AALI,Adipose tissue (fat),11856,10998
TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291_tiles.jsonl,TCGA-3C-AALI,Blood vessels (vasculature),1671,1481
TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291_tiles.jsonl,TCGA-3C-AALI,Ductal carcinoma in situ (DCIS),820,712
TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291_tiles.jsonl,TCGA-3C-AALI,Fibrous desmoplastic stroma,6148,5426
TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291_tiles.jsonl,TCGA-3C-AALI,Invasive breast carcinoma (tumor cells),4775,4388
TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291_tiles.jsonl,TCGA-3C-AALI,Muscle tissue (smooth or skeletal muscle),3076,2667
TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291_tiles.jsonl,TCGA-3C-AALI,Necrosis or hemorrhage,20,17
TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291_tiles.jsonl,TCGA-3C-AALI,Normal breast glands and lobules (TDLU),13905,12834
TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291_tiles.jsonl,TCGA-3C-AALI,Tumor-infiltrating lymphocytes (immune infiltrates),54,34
TCGA-3C-AALJ-01Z-00-DX1.777C0957-255A-42F0-9EEB-A3606BCF0C96_tiles.jsonl,TCGA-3C-AALJ,Adipose tissue (fat),17357,15920
TCGA-3C-AALJ-01Z-00-DX1.777C0957-255A-42F0-9EEB-A3606BCF0C96_tiles.jsonl,TCGA-3C-AALJ,Blood vessels (vasculature),2867,2447
TCGA-3C-AALJ-01Z-00-DX1.777C0957-255A-42F0-9EEB-A3606BCF0C96_tiles.jsonl,TCGA-3C-AALJ,Ductal carcinoma in situ (DCIS),6843,6389
TCGA-3C-AALJ-01Z-00-DX1.777C0957-255A-42F0-9EEB-A3606BCF0C96_tiles.jsonl,TCGA-3C-AALJ,Fibrous desmoplastic stroma,13803,12358
TCGA-3C-AALJ-01Z-00-DX1.777C0957-255A-42F0-9EEB-A3606BCF0C96_tiles.jsonl,TCGA-3C-AALJ,Invasive breast carcinoma (tumor cells),3469,2544
TCGA-3C-AALJ-01Z-00-DX1.777C0957-255A-42F0-9EEB-A3606BCF0C96_tiles.jsonl,TCGA-3C-AALJ,Muscle tissue (smooth or skeletal muscle),15214,14279
TCGA-3C-AALJ-01Z-00-DX1.777C0957-255A-42F0-9EEB-A3606BCF0C96_tiles.jsonl,TCGA-3C-AALJ,Necrosis or hemorrhage,1203,1092
TCGA-3C-AALJ-01Z-00-DX1.777C0957-255A-42F0-9EEB-A3606BCF0C96_tiles.jsonl,TCGA-3C-AALJ,Normal breast glands and lobules (TDLU),25042,23115
TCGA-3C-AALJ-01Z-00-DX1.777C0957-255A-42F0-9EEB-A3606BCF0C96_tiles.jsonl,TCGA-3C-AALJ,Tumor-infiltrating lymphocytes (immune infiltrates),8,4
TCGA-3C-AALK-01Z-00-DX1.4E6EB156-BB19-410F-878F-FC0EA7BD0B53_tiles.jsonl,TCGA-3C-AALK,Adipose tissue (fat),11593,10884
TCGA-3C-AALK-01Z-00-DX1.4E6EB156-BB19-410F-878F-FC0EA7BD0B53_tiles.jsonl,TCGA-3C-AALK,Blood vessels (vasculature),4079,3753
