feature,region,perm_mean,perm_std,impurity_mean
adipose_H_original_firstorder_Kurtosis_std,adipose,0.012147618385336534,0.006354579005861493,0.007934
adipose_H_original_firstorder_Skewness_mean,adipose,0.012114956403513654,0.009091972247297747,0.006936
adipose_H_original_firstorder_InterquartileRange_mean,adipose,0.010073546417896118,0.007534957914839166,0.00891
adipose_H_original_firstorder_Uniformity_mean,adipose,0.009349636396898009,0.012485821534142785,0.00938
adipose_H_original_firstorder_Kurtosis_mean,adipose,0.007081683154313035,0.0060040262061341,0.006859
muscularis_E_original_firstorder_10Percentile_mean,muscularis,0.0054755934429645105,0.0035464468439035794,0.003114
necrosis_E_original_firstorder_InterquartileRange_std,necrosis,0.005156625015031058,0.0033326542776750683,0.003921
urothelium_E_original_firstorder_Kurtosis_mean,urothelium,0.0036601623652812165,0.0018564257436247023,0.003903
muscularis_E_original_firstorder_RobustMeanAbsoluteDeviation_std,muscularis,0.0036241481917517306,0.0015699210549437277,0.003525
necrosis_E_original_firstorder_Entropy_std,necrosis,0.003446417943085123,0.0006534264775937253,0.002511
tumor_H_original_firstorder_Kurtosis_std,tumor,0.0033714193533140426,0.002922550677057646,0.002934
urothelium_E_original_firstorder_RootMeanSquared_std,urothelium,0.0032271562873982472,0.0028464442674456586,0.002419
urothelium_E_original_firstorder_Skewness_mean,urothelium,0.003075039738099539,0.0037621077166020553,0.003072
urothelium_E_original_firstorder_Mean_std,urothelium,0.0027537654126782996,0.0016397957305546917,0.001823
muscularis_E_original_firstorder_Variance_std,muscularis,0.0024897530060144614,0.0020952119846551535,0.003044
vessels_E_original_firstorder_Median_mean,vessels,0.0023860228750567257,0.0009272391827515019,0.00094
adipose_H_original_firstorder_Skewness_std,adipose,0.002234611642854434,0.0033668601739695425,0.004798
necrosis_H_original_firstorder_InterquartileRange_std,necrosis,0.0022041045689781048,0.0007639131089036485,0.002606
tumor_H_original_firstorder_InterquartileRange_std,tumor,0.0021803078386822606,0.0015286801390976597,0.002403
tumor_E_original_firstorder_90Percentile_std,tumor,0.002145688750001562,0.0005165325318698519,0.002035
