feature,region,perm_mean,perm_std,impurity_mean
adipose_E_original_firstorder_InterquartileRange_std,adipose,0.06094690406609069,0.013673320326069738,0.017948
adipose_E_original_firstorder_RobustMeanAbsoluteDeviation_std,adipose,0.04293223187725631,0.011868430570758226,0.017483
dcis_H_original_firstorder_InterquartileRange_std,dcis,0.006784981194645956,0.003289039609586196,0.004523
adipose_E_original_firstorder_Variance_std,adipose,0.0058383941133399505,0.0016358205267745978,0.013474
adipose_H_original_firstorder_Skewness_mean,adipose,0.00393257250378648,0.0005894691626386356,0.005767
tils_H_original_firstorder_Variance_std,tils,0.0028630560015344363,0.0011389991732003223,0.005497
dcis_E_original_firstorder_10Percentile_mean,dcis,0.002689725136544807,0.0025803703300879195,0.006889
adipose_H_original_firstorder_Kurtosis_mean,adipose,0.002435790168319374,0.0007356075419444096,0.005355
tumor_H_original_firstorder_Variance_mean,tumor,0.0022804381391661964,0.00208823709203379,0.002259
tils_H_original_firstorder_MeanAbsoluteDeviation_std,tils,0.002257635210708586,0.0004973416699597414,0.005815
adipose_H_original_firstorder_Median_mean,adipose,0.002069729895681749,0.0016892676114641202,0.005652
tils_E_original_firstorder_Uniformity_mean,tils,0.0019059736044441111,0.0011361048028991959,0.002105
tils_H_original_firstorder_Median_std,tils,0.0018949307547118988,0.00043897104298306716,0.002171
adipose_E_original_firstorder_Median_mean,adipose,0.0018182425882543262,0.0013395887644634835,0.003011
dcis_H_original_firstorder_Variance_mean,dcis,0.0016256598987582805,0.0016560129396990472,0.004285
tumor_H_original_firstorder_Variance_std,tumor,0.0015674195347987973,0.0006164945097522593,0.003048
stroma_H_original_firstorder_90Percentile_std,stroma,0.0014673947083922556,0.00043964205364281167,0.006459
muscle_H_original_firstorder_Skewness_mean,muscle,0.0013744534295973888,0.0005995509829544644,0.001772
stroma_H_original_firstorder_MeanAbsoluteDeviation_std,stroma,0.0012848171138671871,0.0005278429526845401,0.006762
tils_H_original_firstorder_Mean_std,tils,0.001266597866222441,0.0002490680091066783,0.005515
tils_H_original_firstorder_RobustMeanAbsoluteDeviation_std,tils,0.0010601947598261941,0.0002053407300857402,0.005608
