feature,mean_importance,std_importance,ci_lo,ci_hi,rank
age_at_diagnosis,0.19274738055072646,0.022166088995378013,0.18967531734988727,0.19581944375156565,1
weight,0.1575498071658373,0.02041194273263063,0.15472085623364412,0.16037875809803048,2
lymph_node_examined_count,0.14005958126422846,0.01750827092434722,0.13763305871312687,0.14248610381533006,3
height,0.13149302453994294,0.017313856857895764,0.12909344640377152,0.13389260267611436,4
pathologic_T,0.07709635193562764,0.02298936750842397,0.07391018815418997,0.08028251571706531,5
lymphovascular_invasion_present,0.05280481892254874,0.02323281961760598,0.04958491440020091,0.056024723444896576,6
number_of_lymphnodes_positive_by_he,0.04063111965172765,0.014194430084529362,0.03866387200922924,0.042598367294226065,7
pathologic_N,0.031181302609323946,0.018814293704130115,0.028573774535684496,0.0337888306829634,8
pathologic_stage,0.028501880382222476,0.010788600917400833,0.02700665658005341,0.029997104184391544,9
tobacco_smoking_history_2,0.02565861508351916,0.008358186029034844,0.024500229599687517,0.026817000567350802,10
pathologic_M,0.021360556882803215,0.014058861179165133,0.019412098131995813,0.023309015633610618,11
gender,0.020573254578432558,0.005220448662490378,0.019849737307016252,0.021296771849848864,12
tobacco_smoking_history_3,0.02006651721195403,0.0053463514821151656,0.019325550699982395,0.020807483723925664,13
tobacco_smoking_history_1,0.018758206677953252,0.006862172897415022,0.01780715803602366,0.019709255319882844,14
hist_of_non_mibc,0.018063997014067336,0.006474893106881162,0.01716662261269393,0.018961371415440742,15
tobacco_smoking_history_4,0.01172521032613554,0.0026150237229032175,0.011362786528679543,0.012087634123591538,16
tobacco_smoking_history_5,0.003561809627549662,0.0017583099610475731,0.0033181202997602816,0.0038054989553390423,17
neoplasm_histologic_grade_low_grade,0.0028454469895959427,0.0014587245238085638,0.002643278085072985,0.0030476158941189005,18
neoplasm_histologic_grade_high_grade,0.0026907131570473503,0.001173297990373072,0.0025281023518396624,0.0028533239622550383,19
history_of_neoadjuvant_treatment,0.0019592216796585913,0.0011302774879194228,0.0018025732118978487,0.002115870147419334,20
histological_type_muscle_invasive_urothelial_carcinoma_pt2_or_above,0.000671183749097689,0.0004706118721408076,0.0006059602712625474,0.0007364072269328307,21
