feature,mean_importance,std_importance,ci_lo,ci_hi,rank
age_at_diagnosis,0.3403725568695111,0.015838440324629124,0.33817746103234625,0.342567652706676,1
lymph_node_examined_count,0.1829583378568681,0.01129209888460102,0.18139333279662254,0.18452334291711367,2
pathologic_t,0.08962893318948235,0.013600102936626475,0.08774405508726292,0.09151381129170179,3
number_of_lymphnodes_positive_by_he,0.07333493913684602,0.008028675003079258,0.07222222155127644,0.0744476567224156,4
breast_carcinoma_estrogen_receptor_status,0.04202104479030055,0.01110436061538782,0.040482058926691766,0.04356003065390933,5
pathologic_n,0.03154818767410367,0.0034128396068563854,0.031075192236398073,0.032021183111809265,6
breast_carcinoma_progesterone_receptor_status,0.030868599362316434,0.005312284566720195,0.03013235428393522,0.03160484444069765,7
lab_proc_her2_neu_immunohistochemistry_receptor_status,0.026838405781562994,0.0038554037573563602,0.026304074081919395,0.027372737481206593,8
menopause_status_post_prior_bilateral_ovariectomy_or_12_mo_since_lmp_with_no_prior_hysterectomy,0.020707819650649505,0.0035082987599891436,0.020221594249300635,0.021194045051998376,9
pathologic_stage,0.019591045158969186,0.0046428983143711,0.018947572282008714,0.02023451803592966,10
histological_type_infiltrating_ductal_carcinoma,0.018302731884934788,0.0024381286484689763,0.017964824493990218,0.018640639275879358,11
histological_type_mucinous_carcinoma,0.01640856363683904,0.007708009091016071,0.015340288079288857,0.017476839194389224,12
menopause_status_nan,0.015504987331072816,0.004341855555457688,0.01490323685185828,0.016106737810287354,13
histological_type_infiltrating_lobular_carcinoma,0.015332678689705599,0.0021910589118233426,0.015029013417257816,0.015636343962153382,14
menopause_status_pre_6_months_since_lmp_and_no_prior_bilateral_ovariectomy_and_not_on_estrogen_replacement,0.014916463947549544,0.0029539944771591986,0.014507061200377716,0.015325866694721371,15
histological_type_metaplastic_carcinoma,0.014381888746134226,0.009545202401651617,0.013058991186317054,0.015704786305951398,16
histological_type_other_specify,0.009645935946475366,0.0036698344877835387,0.009137322835455142,0.01015454905749559,17
pathologic_m,0.008791401264369624,0.005116585949046598,0.008082278630635072,0.009500523898104176,18
histological_type_mixed_histology_please_specify,0.006884389019243994,0.002528892548412129,0.006533902393548622,0.007234875644939366,19
menopause_status_indeterminate_neither_pre_or_postmenopausal,0.006591791002325713,0.002949245862673243,0.00618304637954472,0.007000535625106706,20
menopause_status_peri_612_months_since_last_menstrual_period,0.006433596700658257,0.003251433394006253,0.005982971022768527,0.006884222378547987,21
histological_type_medullary_carcinoma,0.0047026019459831606,0.003964693005499033,0.0041531235293189575,0.005252080362647364,22
gender,0.0030027984699721815,0.001643202299393325,0.0027750622501747616,0.0032305346897696014,23
histological_type_infiltrating_carcinoma_nos,0.0011920988360413752,0.0014756974292831119,0.000987577606833149,0.0013966200652496014,24
histological_type_nan,3.820310808452735e-05,4.2674729361018906e-05,3.228869234329783e-05,4.411752382575687e-05,25
