feature,region,channel,feature_class,metric,stat,mean_importance,std_importance,ci_lo,ci_hi,cv,rank,median_rank,rank_q025,rank_q975,top20_pct,top50_pct,spearman_rho,spearman_p_value,direction
adipose_E_original_firstorder_InterquartileRange_std,adipose,E,firstorder,InterquartileRange,std,0.02144,0.003324,0.021234,0.021646,0.155,1,1.0,1.0,3.0,100.0,100.0,-0.364,0.0,higher feature -> lower survival_target
adipose_E_original_firstorder_RobustMeanAbsoluteDeviation_std,adipose,E,firstorder,RobustMeanAbsoluteDeviation,std,0.02093,0.003108,0.020737,0.021123,0.149,2,2.0,1.0,3.0,100.0,100.0,-0.3674,0.0,higher feature -> lower survival_target
adipose_E_original_firstorder_MeanAbsoluteDeviation_std,adipose,E,firstorder,MeanAbsoluteDeviation,std,0.015997,0.003154,0.015801,0.016192,0.197,3,3.0,2.0,6.0,100.0,100.0,-0.3422,0.0,higher feature -> lower survival_target
adipose_E_original_firstorder_Variance_std,adipose,E,firstorder,Variance,std,0.015493,0.003193,0.015295,0.015691,0.206,4,4.0,2.0,8.0,100.0,100.0,-0.3324,0.0,higher feature -> lower survival_target
adipose_E_original_firstorder_RootMeanSquared_std,adipose,E,firstorder,RootMeanSquared,std,0.009705,0.002833,0.00953,0.009881,0.292,5,6.0,4.0,29.0,94.8,99.5,-0.282,0.0,higher feature -> lower survival_target
tils_H_original_firstorder_Variance_std,tils,H,firstorder,Variance,std,0.007487,0.002733,0.007318,0.007656,0.365,6,11.0,4.0,61.0,76.8,95.7,-0.2768,0.0,higher feature -> lower survival_target
tils_H_original_firstorder_MeanAbsoluteDeviation_std,tils,H,firstorder,MeanAbsoluteDeviation,std,0.006745,0.002667,0.00658,0.00691,0.395,7,14.0,5.0,82.0,65.2,91.6,-0.2613,0.0,higher feature -> lower survival_target
adipose_E_original_firstorder_90Percentile_std,adipose,E,firstorder,90Percentile,std,0.006689,0.00233,0.006544,0.006833,0.348,8,15.0,6.0,75.0,67.2,94.0,-0.2705,0.0,higher feature -> lower survival_target
tils_H_original_firstorder_RobustMeanAbsoluteDeviation_std,tils,H,firstorder,RobustMeanAbsoluteDeviation,std,0.006557,0.002645,0.006393,0.006721,0.403,9,16.0,5.0,84.0,62.0,91.4,-0.2699,0.0,higher feature -> lower survival_target
tdlu_H_original_firstorder_Entropy_std,tdlu,H,firstorder,Entropy,std,0.00655,0.002735,0.00638,0.006719,0.418,10,15.0,5.0,116.1,62.5,88.8,-0.2567,0.0,higher feature -> lower survival_target
tils_H_original_firstorder_InterquartileRange_std,tils,H,firstorder,InterquartileRange,std,0.00654,0.002714,0.006371,0.006708,0.415,11,15.5,5.0,98.0,61.0,90.2,-0.2635,0.0,higher feature -> lower survival_target
tils_H_original_firstorder_90Percentile_std,tils,H,firstorder,90Percentile,std,0.006351,0.002476,0.006198,0.006505,0.39,12,16.5,5.0,84.0,60.5,90.5,-0.272,0.0,higher feature -> lower survival_target
adipose_E_original_firstorder_Entropy_std,adipose,E,firstorder,Entropy,std,0.006292,0.00257,0.006133,0.006451,0.408,13,17.0,5.0,82.0,58.1,90.9,-0.174,1e-05,higher feature -> lower survival_target
adipose_E_original_firstorder_Median_std,adipose,E,firstorder,Median,std,0.005928,0.001946,0.005808,0.006049,0.328,14,18.0,6.0,79.0,57.2,93.1,-0.2442,0.0,higher feature -> lower survival_target
tdlu_H_original_firstorder_90Percentile_std,tdlu,H,firstorder,90Percentile,std,0.00586,0.002443,0.005708,0.006011,0.417,15,20.0,5.0,136.0,51.6,84.6,-0.2626,0.0,higher feature -> lower survival_target
tils_H_original_firstorder_Energy_std,tils,H,firstorder,Energy,std,0.005652,0.002406,0.005503,0.005801,0.426,16,21.0,6.0,126.1,49.4,82.4,-0.2456,0.0,higher feature -> lower survival_target
tils_H_original_firstorder_TotalEnergy_std,tils,H,firstorder,TotalEnergy,std,0.005646,0.002399,0.005497,0.005795,0.425,17,21.5,6.0,122.0,48.1,82.6,-0.2456,0.0,higher feature -> lower survival_target
adipose_E_original_firstorder_Mean_std,adipose,E,firstorder,Mean,std,0.005304,0.001993,0.005181,0.005428,0.376,18,23.0,7.0,130.0,43.1,83.3,-0.2437,0.0,higher feature -> lower survival_target
dcis_E_original_firstorder_10Percentile_mean,dcis,E,firstorder,10Percentile,mean,0.005036,0.00225,0.004896,0.005175,0.447,19,28.0,5.0,131.0,37.1,76.8,0.1211,0.002211,higher feature -> higher survival_target
tdlu_H_original_firstorder_MeanAbsoluteDeviation_std,tdlu,H,firstorder,MeanAbsoluteDeviation,std,0.004867,0.002194,0.004731,0.005003,0.451,20,28.0,7.0,188.0,35.6,70.9,-0.2435,0.0,higher feature -> lower survival_target
vessels_E_original_firstorder_MeanAbsoluteDeviation_std,vessels,E,firstorder,MeanAbsoluteDeviation,std,0.004742,0.002073,0.004613,0.00487,0.437,21,31.0,6.0,144.0,31.5,70.5,-0.2003,0.0,higher feature -> lower survival_target
